
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;0.0;-100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;3.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    6.-Robos con violencia e intimidación;2.0;5.0;150.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;30.0;21.0;-30.0;
    7.1.-Robos con fuerza en domicilios;20.0;12.0;-40.0;
    8.-Hurtos;63.0;42.0;-33.3;
    9.-Sustracciones de vehículos;5.0;6.0;20.0;
    10.-Tráfico de drogas;12.0;4.0;-66.7;
    Resto de infracciones penales;254.0;297.0;16.9;
    TOTAL INFRACCIONES PENALES;367.0;378.0;3.0;
- Municipio de Sanlúcar de Barrameda;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;4.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    6.-Robos con violencia e intimidación;14.0;11.0;-21.4;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;55.0;25.0;-54.5;
    7.1.-Robos con fuerza en domicilios;41.0;14.0;-65.9;
    8.-Hurtos;169.0;160.0;-5.3;
    9.-Sustracciones de vehículos;40.0;35.0;-12.5;
    10.-Tráfico de drogas;12.0;9.0;-25.0;
    Resto de infracciones penales;387.0;345.0;-10.9;
    TOTAL INFRACCIONES PENALES;681.0;590.0;-13.4;
Provincia de CÓRDOBA;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;2.0;-33.3;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;36.0;44.0;22.2;
    4.-Secuestro;1.0;2.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;36.0;59.0;63.9;
    5.1.-Agresión sexual con penetración;1.0;6.0;500.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;35.0;53.0;51.4;
    6.-Robos con violencia e intimidación;168.0;110.0;-34.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;448.0;385.0;-14.1;
    7.1.-Robos con fuerza en domicilios;284.0;229.0;-19.4;
    8.-Hurtos;1808.0;1622.0;-10.3;
    9.-Sustracciones de vehículos;111.0;84.0;-24.3;
    10.-Tráfico de drogas;29.0;51.0;75.9;
    Resto de infracciones penales;3856.0;3994.0;3.6;
    TOTAL INFRACCIONES PENALES;6496.0;6353.0;-2.2;
- Municipio de Córdoba;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;14.0;18.0;28.6;
    4.-Secuestro;0.0;1.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;25.0;32.0;28.0;
    5.1.-Agresión sexual con penetración;1.0;4.0;300.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;24.0;28.0;16.7;
    6.-Robos con violencia e intimidación;138.0;79.0;-42.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;155.0;156.0;0.6;
    7.1.-Robos con fuerza en domicilios;107.0;92.0;-14.0;
    8.-Hurtos;1190.0;1094.0;-8.1;
    9.-Sustracciones de vehículos;97.0;73.0;-24.7;
    10.-Tráfico de drogas;14.0;32.0;128.6;
    Resto de infracciones penales;2181.0;2344.0;7.5;
    TOTAL INFRACCIONES PENALES;3816.0;3829.0;0.3;
- Municipio de Lucena;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;2.0;-60.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;3.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;3.0;100.0;
    6.-Robos con violencia e intimidación;9.0;4.0;-55.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;24.0;20.0;-16.7;
    7.1.-Robos con fuerza en domicilios;13.0;12.0;-7.7;
    8.-Hurtos;118.0;101.0;-14.4;
    9.-Sustracciones de vehículos;5.0;0.0;-100.0;
    10.-Tráfico de drogas;3.0;1.0;-66.7;
    Resto de infracciones penales;261.0;258.0;-1.1;
    TOTAL INFRACCIONES PENALES;425.0;389.0;-8.5;
- Municipio de Puente Genil;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
