
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;37.0;52.0;40.5;
    7.1.-Robos con fuerza en domicilios;28.0;30.0;7.1;
    8.-Hurtos;215.0;257.0;19.5;
    9.-Sustracciones de vehículos;4.0;6.0;50.0;
    10.-Tráfico de drogas;2.0;1.0;-50.0;
    Resto de infracciones penales;389.0;518.0;33.2;
    TOTAL INFRACCIONES PENALES;670.0;855.0;27.6;
- Municipio de Vigo;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;12.0;22.0;83.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;14.0;17.0;21.4;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;14.0;15.0;7.1;
    6.-Robos con violencia e intimidación;55.0;38.0;-30.9;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;162.0;154.0;-4.9;
    7.1.-Robos con fuerza en domicilios;100.0;65.0;-35.0;
    8.-Hurtos;693.0;755.0;8.9;
    9.-Sustracciones de vehículos;40.0;55.0;37.5;
    10.-Tráfico de drogas;20.0;23.0;15.0;
    Resto de infracciones penales;1271.0;1523.0;19.8;
    TOTAL INFRACCIONES PENALES;2267.0;2589.0;14.2;
- Municipio de Vilagarcía de Arousa;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;4.0;33.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;6.0;500.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;5.0;400.0;
    6.-Robos con violencia e intimidación;1.0;7.0;600.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;34.0;31.0;-8.8;
    7.1.-Robos con fuerza en domicilios;12.0;20.0;66.7;
    8.-Hurtos;61.0;92.0;50.8;
    9.-Sustracciones de vehículos;8.0;4.0;-50.0;
    10.-Tráfico de drogas;2.0;3.0;50.0;
    Resto de infracciones penales;217.0;249.0;14.7;
    TOTAL INFRACCIONES PENALES;327.0;396.0;21.1;
MADRID (COMUNIDAD DE);
    1.-Homicidios dolosos y asesinatos consumados;13.0;10.0;-23.1;
    2.-Homicidios dolosos y asesinatos en grado tentativa;21.0;15.0;-28.6;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;478.0;590.0;23.4;
    4.-Secuestro;3.0;3.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;458.0;540.0;17.9;
    5.1.-Agresión sexual con penetración;62.0;56.0;-9.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;396.0;484.0;22.2;
    6.-Robos con violencia e intimidación;3399.0;3542.0;4.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;5039.0;4768.0;-5.4;
    7.1.-Robos con fuerza en domicilios;3372.0;2866.0;-15.0;
    8.-Hurtos;38880.0;40524.0;4.2;
    9.-Sustracciones de vehículos;2235.0;2145.0;-4.0;
    10.-Tráfico de drogas;452.0;587.0;29.9;
    Resto de infracciones penales;46800.0;50545.0;8.0;
    TOTAL INFRACCIONES PENALES;97778.0;103269.0;5.6;
- Municipio de Alcalá de Henares;
    1.-Homicidios dolosos y asesinatos consumados;3.0;1.0;-66.7;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;8.0;18.0;125.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;10.0;10.0;0.0;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;9.0;9.0;0.0;
    6.-Robos con violencia e intimidación;47.0;44.0;-6.4;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;113.0;109.0;-3.5;
    7.1.-Robos con fuerza en domicilios;61.0;66.0;8.2;
    8.-Hurtos;673.0;693.0;3.0;
    9.-Sustracciones de vehículos;55.0;71.0;29.1;
    10.-Tráfico de drogas;9.0;10.0;11.1;
    Resto de infracciones penales;1269.0;1500.0;18.2;
    TOTAL INFRACCIONES PENALES;2187.0;2456.0;12.3;
- Municipio de Alcobendas;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;8.0;9.0;12.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;10.0;6.0;-40.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;10.0;6.0;-40.0;
    6.-Robos con violencia e intimidación;32.0;25.0;-21.9;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;88.0;111.0;26.1;
    7.1.-Robos con fuerza en domicilios;46.0;51.0;10.9;
    8.-Hurtos;347.0;315.0;-9.2;
    9.-Sustracciones de vehículos;39.0;69.0;76.9;
    10.-Tráfico de drogas;7.0;5.0;-28.6;
    Resto de infracciones penales;729.0;768.0;5.3;
    TOTAL INFRACCIONES PENALES;1260.0;1309.0;3.9;
- Municipio de Alcorcón;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;10.0;400.0;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;10.0;8.0;-20.0;
    5.1.-Agresión sexual con penetración;0.0;4.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;10.0;4.0;-60.0;
    6.-Robos con violencia e intimidación;84.0;44.0;-47.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;69.0;60.0;-13.0;
    7.1.-Robos con fuerza en domicilios;40.0;37.0;-7.5;
    8.-Hurtos;550.0;613.0;11.5;
    9.-Sustracciones de vehículos;43.0;35.0;-18.6;
    10.-Tráfico de drogas;5.0;15.0;200.0;
    Resto de infracciones penales;773.0;1038.0;34.3;
    TOTAL INFRACCIONES PENALES;1537.0;1824.0;18.7;
- Municipio de Aranjuez;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;4.0;-20.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;6.0;100.0;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;5.0;150.0;
    6.-Robos con violencia e intimidación;6.0;9.0;50.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;25.0;33.0;32.0;
    7.1.-Robos con fuerza en domicilios;13.0;20.0;53.8;
    8.-Hurtos;116.0;152.0;31.0;
    9.-Sustracciones de vehículos;17.0;20.0;17.6;
    10.-Tráfico de drogas;3.0;3.0;0.0;
    Resto de infracciones penales;311.0;420.0;35.0;
    TOTAL INFRACCIONES PENALES;486.0;647.0;33.1;
- Municipio de Arganda del Rey;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;8.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;3.0;200.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;3.0;100.0;
    6.-Robos con violencia e intimidación;11.0;11.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;45.0;36.0;-20.0;
    7.1.-Robos con fuerza en domicilios;35.0;17.0;-51.4;
    8.-Hurtos;96.0;101.0;5.2;
    9.-Sustracciones de vehículos;4.0;7.0;75.0;
    10.-Tráfico de drogas;3.0;2.0;-33.3;
    Resto de infracciones penales;374.0;421.0;12.6;
    TOTAL INFRACCIONES PENALES;539.0;589.0;9.3;
- Municipio de Arroyomolinos;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;0.0;-100.0;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;5.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;4.0;100.0;
    6.-Robos con violencia e intimidación;8.0;10.0;25.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;33.0;28.0;-15.2;
    7.1.-Robos con fuerza en domicilios;25.0;21.0;-16.0;
    8.-Hurtos;331.0;415.0;25.4;
    9.-Sustracciones de vehículos;16.0;16.0;0.0;
    10.-Tráfico de drogas;3.0;0.0;-100.0;
    Resto de infracciones penales;231.0;266.0;15.2;
    TOTAL INFRACCIONES PENALES;625.0;740.0;18.4;
- Municipio de Boadilla del Monte;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;1.0;-50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;4.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;4.0;100.0;
    6.-Robos con violencia e intimidación;1.0;4.0;300.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;29.0;25.0;-13.8;
    7.1.-Robos con fuerza en domicilios;24.0;20.0;-16.7;
    8.-Hurtos;73.0;95.0;30.1;
    9.-Sustracciones de vehículos;4.0;2.0;-50.0;
    10.-Tráfico de drogas;2.0;0.0;-100.0;
    Resto de infracciones penales;155.0;236.0;52.3;
    TOTAL INFRACCIONES PENALES;268.0;367.0;36.9;
- Municipio de Colmenar Viejo;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;5.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;6.0;50.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;6.0;50.0;
    6.-Robos con violencia e intimidación;14.0;15.0;7.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;30.0;36.0;20.0;
    7.1.-Robos con fuerza en domicilios;23.0;25.0;8.7;
    8.-Hurtos;111.0;126.0;13.5;
    9.-Sustracciones de vehículos;5.0;1.0;-80.0;
    10.-Tráfico de drogas;0.0;1.0;100.0;
    Resto de infracciones penales;288.0;301.0;4.5;
    TOTAL INFRACCIONES PENALES;457.0;491.0;7.4;
- Municipio de Collado Villalba;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;9.0;80.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;8.0;6.0;-25.0;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;5.0;-28.6;
    6.-Robos con violencia e intimidación;23.0;52.0;126.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;66.0;55.0;-16.7;
    7.1.-Robos con fuerza en domicilios;41.0;45.0;9.8;
    8.-Hurtos;211.0;244.0;15.6;
    9.-Sustracciones de vehículos;2.0;3.0;50.0;
    10.-Tráfico de drogas;3.0;4.0;33.3;
    Resto de infracciones penales;518.0;467.0;-9.8;
    TOTAL INFRACCIONES PENALES;837.0;840.0;0.4;
- Municipio de Coslada;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;5.0;66.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;4.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;4.0;100.0;
    6.-Robos con violencia e intimidación;21.0;15.0;-28.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;42.0;44.0;4.8;
    7.1.-Robos con fuerza en domicilios;33.0;23.0;-30.3;
    8.-Hurtos;230.0;238.0;3.5;
    9.-Sustracciones de vehículos;25.0;27.0;8.0;
    10.-Tráfico de drogas;3.0;3.0;0.0;
    Resto de infracciones penales;463.0;625.0;35.0;
    TOTAL INFRACCIONES PENALES;789.0;961.0;21.8;
- Municipio de Fuenlabrada;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;8.0;6.0;-25.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;10.0;7.0;-30.0;
    5.1.-Agresión sexual con penetración;2.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;8.0;7.0;-12.5;
    6.-Robos con violencia e intimidación;81.0;87.0;7.4;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;97.0;45.0;-53.6;
    7.1.-Robos con fuerza en domicilios;49.0;19.0;-61.2;
    8.-Hurtos;584.0;478.0;-18.2;
    9.-Sustracciones de vehículos;70.0;59.0;-15.7;
    10.-Tráfico de drogas;3.0;0.0;-100.0;
    Resto de infracciones penales;1061.0;1120.0;5.6;
    TOTAL INFRACCIONES PENALES;1914.0;1802.0;-5.9;
- Municipio de Galapagar;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;2.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;6.0;200.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;6.0;200.0;
    6.-Robos con violencia e intimidación;3.0;9.0;200.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;53.0;57.0;7.5;
    7.1.-Robos con fuerza en domicilios;51.0;47.0;-7.8;
    8.-Hurtos;62.0;53.0;-14.5;
    9.-Sustracciones de vehículos;0.0;1.0;100.0;
    10.-Tráfico de drogas;2.0;2.0;0.0;
    Resto de infracciones penales;258.0;368.0;42.6;
    TOTAL INFRACCIONES PENALES;382.0;498.0;30.4;
- Municipio de Getafe;
    1.-Homicidios dolosos y asesinatos consumados;2.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;7.0;18.0;157.1;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;13.0;225.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;12.0;200.0;
    6.-Robos con violencia e intimidación;102.0;86.0;-15.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;85.0;109.0;28.2;
    7.1.-Robos con fuerza en domicilios;52.0;63.0;21.2;
    8.-Hurtos;676.0;617.0;-8.7;
    9.-Sustracciones de vehículos;88.0;101.0;14.8;
    10.-Tráfico de drogas;3.0;1.0;-66.7;
    Resto de infracciones penales;1489.0;1273.0;-14.5;
    TOTAL INFRACCIONES PENALES;2456.0;2218.0;-9.7;
- Municipio de Leganés;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;12.0;13.0;8.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;11.0;18.0;63.6;
    5.1.-Agresión sexual con penetración;2.0;3.0;50.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;9.0;15.0;66.7;
    6.-Robos con violencia e intimidación;71.0;93.0;31.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;110.0;100.0;-9.1;
    7.1.-Robos con fuerza en domicilios;47.0;51.0;8.5;
    8.-Hurtos;1095.0;967.0;-11.7;
    9.-Sustracciones de vehículos;90.0;52.0;-42.2;
    10.-Tráfico de drogas;8.0;7.0;-12.5;
    Resto de infracciones penales;1230.0;1115.0;-9.3;
    TOTAL INFRACCIONES PENALES;2627.0;2366.0;-9.9;
- Municipio de Madrid;
    1.-Homicidios dolosos y asesinatos consumados;7.0;4.0;-42.9;
    2.-Homicidios dolosos y asesinatos en grado tentativa;14.0;7.0;-50.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;284.0;342.0;20.4;
    4.-Secuestro;0.0;1.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;275.0;288.0;4.7;
    5.1.-Agresión sexual con penetración;48.0;27.0;-43.8;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;227.0;261.0;15.0;
    6.-Robos con violencia e intimidación;2351.0;2543.0;8.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;2259.0;2367.0;4.8;
    7.1.-Robos con fuerza en domicilios;1406.0;1252.0;-11.0;
    8.-Hurtos;28292.0;30206.0;6.8;
    9.-Sustracciones de vehículos;1361.0;1281.0;-5.9;
    10.-Tráfico de drogas;341.0;450.0;32.0;
    Resto de infracciones penales;25067.0;27311.0;9.0;
    TOTAL INFRACCIONES PENALES;60251.0;64800.0;7.6;
- Municipio de Majadahonda;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;3.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;10.0;5.0;-50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;5.0;7.0;40.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;7.0;40.0;
    6.-Robos con violencia e intimidación;23.0;12.0;-47.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;66.0;88.0;33.3;
    7.1.-Robos con fuerza en domicilios;52.0;68.0;30.8;
    8.-Hurtos;378.0;348.0;-7.9;
    9.-Sustracciones de vehículos;5.0;10.0;100.0;
    10.-Tráfico de drogas;1.0;4.0;300.0;
    Resto de infracciones penales;515.0;520.0;1.0;
    TOTAL INFRACCIONES PENALES;1003.0;997.0;-0.6;
- Municipio de Móstoles;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;10.0;12.0;20.0;
    4.-Secuestro;0.0;1.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;11.0;14.0;27.3;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;11.0;13.0;18.2;
    6.-Robos con violencia e intimidación;66.0;72.0;9.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;85.0;72.0;-15.3;
    7.1.-Robos con fuerza en domicilios;52.0;54.0;3.8;
    8.-Hurtos;496.0;486.0;-2.0;
    9.-Sustracciones de vehículos;59.0;67.0;13.6;
    10.-Tráfico de drogas;18.0;9.0;-50.0;
    Resto de infracciones penales;1344.0;1355.0;0.8;
    TOTAL INFRACCIONES PENALES;2091.0;2088.0;-0.1;
- Municipio de Parla;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;4.0;33.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;11.0;175.0;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;9.0;125.0;
    6.-Robos con violencia e intimidación;116.0;110.0;-5.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;51.0;74.0;45.1;
    7.1.-Robos con fuerza en domicilios;23.0;35.0;52.2;
    8.-Hurtos;408.0;421.0;3.2;
    9.-Sustracciones de vehículos;25.0;51.0;104.0;
    10.-Tráfico de drogas;0.0;3.0;100.0;
    Resto de infracciones penales;1058.0;947.0;-10.5;
    TOTAL INFRACCIONES PENALES;1667.0;1621.0;-2.8;
- Municipio de Pinto;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;5.0;-16.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;1.0;-50.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;1.0;-50.0;
    6.-Robos con violencia e intimidación;26.0;32.0;23.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;29.0;51.0;75.9;
    7.1.-Robos con fuerza en domicilios;16.0;31.0;93.8;
    8.-Hurtos;242.0;147.0;-39.3;
    9.-Sustracciones de vehículos;14.0;5.0;-64.3;
    10.-Tráfico de drogas;4.0;5.0;25.0;
    Resto de infracciones penales;471.0;383.0;-18.7;
    TOTAL INFRACCIONES PENALES;794.0;629.0;-20.8;
- Municipio de Pozuelo de Alarcón;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;4.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;4.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;4.0;0.0;
    6.-Robos con violencia e intimidación;16.0;11.0;-31.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;63.0;55.0;-12.7;
    7.1.-Robos con fuerza en domicilios;37.0;36.0;-2.7;
    8.-Hurtos;249.0;249.0;0.0;
    9.-Sustracciones de vehículos;45.0;30.0;-33.3;
    10.-Tráfico de drogas;1.0;3.0;200.0;
    Resto de infracciones penales;385.0;560.0;45.5;
    TOTAL INFRACCIONES PENALES;766.0;916.0;19.6;
- Municipio de Rivas-Vaciamadrid;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;9.0;5.0;-44.4;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;6.0;5.0;-16.7;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;6.0;5.0;-16.7;
    6.-Robos con violencia e intimidación;39.0;18.0;-53.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;78.0;47.0;-39.7;
    7.1.-Robos con fuerza en domicilios;63.0;31.0;-50.8;
    8.-Hurtos;422.0;402.0;-4.7;
    9.-Sustracciones de vehículos;13.0;18.0;38.5;
    10.-Tráfico de drogas;4.0;3.0;-25.0;
    Resto de infracciones penales;650.0;768.0;18.2;
    TOTAL INFRACCIONES PENALES;1221.0;1266.0;3.7;
- Municipio de Rozas de Madrid (Las);
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;10.0;5.0;-50.0;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;10.0;900.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;9.0;800.0;
    6.-Robos con violencia e intimidación;25.0;20.0;-20.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;118.0;99.0;-16.1;
    7.1.-Robos con fuerza en domicilios;96.0;71.0;-26.0;
    8.-Hurtos;387.0;342.0;-11.6;
    9.-Sustracciones de vehículos;23.0;15.0;-34.8;
    10.-Tráfico de drogas;0.0;1.0;100.0;
    Resto de infracciones penales;654.0;647.0;-1.1;
    TOTAL INFRACCIONES PENALES;1219.0;1139.0;-6.6;
- Municipio de San Fernando de Henares;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;0.0;-100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;2.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;2.0;0.0;
    6.-Robos con violencia e intimidación;10.0;2.0;-80.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;32.0;22.0;-31.3;
    7.1.-Robos con fuerza en domicilios;27.0;11.0;-59.3;
    8.-Hurtos;174.0;133.0;-23.6;
    9.-Sustracciones de vehículos;14.0;24.0;71.4;
    10.-Tráfico de drogas;2.0;3.0;50.0;
    Resto de infracciones penales;217.0;275.0;26.7;
    TOTAL INFRACCIONES PENALES;452.0;461.0;2.0;
- Municipio de San Sebastián de los Reyes;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;10.0;150.0;
    4.-Secuestro;0.0;0.0;0.0;
